Site,Unit_ID,Year,Pasture_Type,Treatment,ANPP_kg_ha,ANPP_STD_kg_ha
ABS-UF,East_Marsh_Block_1_Sector_1,2017,SN,ASP,1390.67,2672.64
ABS-UF,East_Marsh_Block_1_Sector_1,2018,SN,ASP,8782.67,1226.03
ABS-UF,East_Marsh_Block_1_Sector_1,2019,SN,ASP,9532,2465.35
ABS-UF,East_Marsh_Block_1_Sector_2,2017,SN,ASP,4181.47,1982.15
ABS-UF,East_Marsh_Block_1_Sector_2,2018,SN,ASP,9048,2971.56
ABS-UF,East_Marsh_Block_1_Sector_2,2019,SN,ASP,3590.67,3532
ABS-UF,East_Marsh_Block_1_Sector_3,2017,SN,ASP,10936,3000.98
ABS-UF,East_Marsh_Block_1_Sector_3,2018,SN,ASP,6512,965.42
ABS-UF,East_Marsh_Block_1_Sector_3,2019,SN,ASP,-441.33,1566.09
ABS-UF,East_Marsh_Block_2,2017,SN,BAU,7366.67,2404.49
ABS-UF,East_Marsh_Block_2,2018,SN,BAU,4132,10386.4
ABS-UF,East_Marsh_Block_2,2019,SN,BAU,-3000,1628.15
ABS-UF,Griffin_Park_Block_Sector_1,2017,IMP,ASP,5859.87,1064.27
ABS-UF,Griffin_Park_Block_Sector_1,2018,IMP,ASP,7869.33,2260.78
ABS-UF,Griffin_Park_Block_Sector_1,2019,IMP,ASP,6070,5585.25
ABS-UF,Griffin_Park_Block_Sector_2,2017,IMP,ASP,9305.33,4356.15
ABS-UF,Griffin_Park_Block_Sector_2,2018,IMP,ASP,6849.33,2412.34
ABS-UF,Griffin_Park_Block_Sector_2,2019,IMP,ASP,7546.67,1459.08
ABS-UF,Griffin_Park_Block_Sector_3,2017,IMP,ASP,4637.33,2810.97
ABS-UF,Griffin_Park_Block_Sector_3,2018,IMP,ASP,8049.33,2864.41
ABS-UF,Griffin_Park_Block_Sector_3,2019,IMP,ASP,6412,5534.38
ABS-UF,Shop_Field_Block,2017,IMP,BAU,2732,2538.75
ABS-UF,Shop_Field_Block,2018,IMP,BAU,3892,411.22
ABS-UF,Shop_Field_Block,2019,IMP,BAU,8282.67,3181.88
ABS-UF,Tropical_East_Block_1,2017,IMP,BAU,6194.67,495.36
ABS-UF,Tropical_East_Block_1,2018,IMP,BAU,2953.33,1039.23
ABS-UF,Tropical_East_Block_1,2019,IMP,BAU,7196,1186.57
ABS-UF,Tropical_East_Block_2_Sector_1,2017,IMP,ASP,3818.93,2849.24
ABS-UF,Tropical_East_Block_2_Sector_1,2018,IMP,ASP,-1488,5432.22
ABS-UF,Tropical_East_Block_2_Sector_1,2019,IMP,ASP,4762.67,3043.27
ABS-UF,Tropical_East_Block_2_Sector_2,2017,IMP,ASP,1384.53,1727.39
ABS-UF,Tropical_East_Block_2_Sector_2,2018,IMP,ASP,4728,3050.71
ABS-UF,Tropical_East_Block_2_Sector_2,2019,IMP,ASP,5792,2363.01
