Site,Unit_ID,Pasture_Type,Treatment,Burn_Year,Year,Month,Time,Date,Bird_Spp,Common_Name,Num_Birds,Distance,Temp,Times_Surveyed,Comments
ABS-UF,Tropical_East_Block_2_Sector_3,IMP,ASP,2019,2021,4,11:02:15 AM,4/13/2021,NOBO,Northern Bobwhite,2,90,54,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,5,11:02:40 AM,5/7/2021,NOBO,Northern Bobwhite,1,46,69,4,
ABS-UF,Summer_3_Block_Sector_2,IMP,BAU,2017,2021,6,11:30:53 AM,6/3/2021,NOBO,Northern Bobwhite,1,45,69,4,
ABS-UF,Summer_3_Block_Sector_2,IMP,BAU,2017,2021,5,11:38:55 AM,5/6/2021,NOBO,Northern Bobwhite,1,75,70,4,
ABS-UF,Tropical_East_Block_1_Sector_2,IMP,BAU,2017,2021,6,10:31:59 AM,6/1/2021,NOBO,Northern Bobwhite,1,59,65,4,
ABS-UF,Summer_3_Block_Sector_3,IMP,BAU,2017,2021,6,11:45:54 AM,6/3/2021,NOBO,Northern Bobwhite,1,85,70,4,
ABS-UF,Tropical_East_Block_1_Sector_1,IMP,BAU,2017,2021,6,10:19:55 AM,6/1/2021,NOBO,Northern Bobwhite,1,73,65,4,
ABS-UF,Summer_3_Block_Sector_3,IMP,BAU,2017,2021,5,11:50:18 AM,5/6/2021,NOBO,Northern Bobwhite,1,58,70,4,
ABS-UF,Summer_6_Block_Sector_2,IMP,ASP,2019,2021,6,10:44:57 AM,6/3/2021,NOBO,Northern Bobwhite,1,89,67,4,
ABS-UF,Shop_Field_Block_Sector_3,IMP,BAU,2017,2021,4,12:23:33 PM,4/5/2021,NOBO,Northern Bobwhite,1,85,57,4,
ABS-UF,West_Marsh_Block_4_Sector_3,SN,BAU,2017,2021,4,11:58:38 AM,4/6/2021,NOBO,Northern Bobwhite,1,74,51,4,
ABS-UF,Summer_6_Block_Sector_1,IMP,ASP,2018,2021,4,11:54:55 AM,4/9/2021,NOBO,Northern Bobwhite,1,65,58,4,
