Site,Unit_ID,Pasture_Type,Treatment,Point_ID,Year,Season,Species_Code,Species_Name,Sampling_Type,Live_Species_Cover_pct,Standing_Dead_Cover_pct,Total_Species_Cover_pct,Comments
ABS-UF,Tropical_East_Block_2_Sector_1,IMP,ASP,3072,2018,fall,DESHET,Desmodium heterocarpon,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_1,IMP,BAU,3333,2018,fall,DESHET,Desmodium heterocarpon,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,451,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,453,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,454,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,455,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,456,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,457,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,458,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,459,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,460,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,461,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,462,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,463,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,464,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,465,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,466,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,467,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,468,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,469,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,470,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,471,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,472,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,473,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,474,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,475,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,476,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,477,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,479,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,480,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,482,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,483,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,484,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,485,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,486,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,489,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,490,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,491,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,492,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,493,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_2,IMP,BAU,334,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_2,IMP,BAU,336,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_3,IMP,BAU,351,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_3,IMP,BAU,354,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,2,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,3,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,4,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,5,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,8,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,9,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,10,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,11,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,12,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,13,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,14,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,15,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,31,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected from I.3.41
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,36,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,37,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected from I.3.51
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,38,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,40,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,41,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,42,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,44,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected from I.3.61
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,16,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,17,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected  from I.2.20
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,18,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,19,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected  from I.2.19
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,20,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,21,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected  from I.2.26
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,23,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,24,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected  from I.2.24
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,25,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected  from I.2.32
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,27,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,29,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,corrected  from I.2.29
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,30,2016,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1451,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1452,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
