YearSampled,Pasture,Plot,Transect,Distance,Forage,C4PG,ANHP,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
2013,15E,1,1,10,471.99,297.08,636.68,164.69,297.08,23.14,151.77,9.69,0,0,0,0,1,TGM,Loamy,133.06,520234,4520700
2013,15E,1,4,10,540.89,540.89,546.81,5.92,540.89,0,0,5.38,0,0,0,0,1,TGM,Loamy,133.06,520234,4520700
2013,15E,1,4,20,731.95,685.12,734.1,2.15,685.12,18.84,27.99,6.46,0,0,0,0,1,TGM,Loamy,133.06,520234,4520700
2013,15E,2,1,10,432.17,430.56,682.43,250.26,430.56,0,1.61,0,0,0,0,0,1,TGM,Loamy,133.06,520428,4520540
2013,15E,2,1,20,815.9,569.41,815.9,0,569.41,171.68,74.81,2.15,0,0,0,0,1,TGM,Loamy,133.06,520428,4520540
2013,15E,2,4,10,744.33,708.81,753.48,9.15,525.82,0,35.52,4.31,182.99,0,0,0,1,TGM,Loamy,133.06,520428,4520540
2013,15E,2,4,20,555.95,515.59,555.95,0,515.59,0,40.36,4.84,0,0,0,0,1,TGM,Loamy,133.06,520428,4520540
2013,15E,3,1,10,454.24,331.53,454.24,0,331.53,122.71,0,7.53,0,0,0,0,1,TGM,Loamy,133.06,520258,4520250
2013,15E,3,4,10,376.74,262.64,376.74,0,262.64,51.67,62.43,4.84,0,0,0,0,1,TGM,Loamy,133.06,520258,4520250
2013,15E,3,4,20,673.29,585.56,774.47,101.18,585.56,87.73,0,14.53,0,1107.61,0,0,1,TGM,Loamy,133.06,520258,4520250
2013,15E,4,1,10,676.51,566.72,693.19,16.68,566.72,91.49,18.3,8.61,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
2013,15E,4,1,20,695.89,425.17,705.58,9.69,425.17,165.23,105.49,7.53,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
2013,15E,4,4,10,1085,896.63,1192.64,107.64,896.63,160.38,27.99,4.84,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
2013,15E,4,4,20,635.61,599.01,635.61,0,599.01,0,36.6,3.77,0,0,0,0,1,TGM,Loamy,133.06,520358,4520020
2013,17N,1,1,10,627.53,527.43,669.51,41.98,527.43,71.58,28.52,9.15,0,0,0,0,9,TGM,Loamy,128.63,525796,4520980
2013,17N,1,1,20,627,554.34,654.99,27.99,554.34,69.43,3.23,34.98,0,0,0,0,9,TGM,Loamy,128.63,525796,4520980
2013,17N,1,4,10,638.3,371.89,638.3,0,369.74,254.03,12.38,222.27,2.15,0,0,0,9,TGM,Loamy,128.63,525796,4520980
2013,17N,1,4,20,581.25,371.89,634.53,53.28,188.37,179.76,29.6,101.72,183.52,5.92,0,0,9,TGM,Loamy,128.63,525796,4520980
2013,17N,2,1,10,475.76,357.9,670.59,194.83,357.9,117.86,0,38.75,0,0,0,0,9,TGM,Loamy,128.63,525804,4520580
2013,17N,2,1,20,399.35,346.06,470.93,71.58,346.06,48.98,4.31,7.53,0,0,0,0,9,TGM,Loamy,128.63,525804,4520580
2013,17N,2,4,10,630.23,502.14,630.23,0,340.68,0,128.09,36.6,161.46,0,0,0,9,TGM,Loamy,128.63,525804,4520580
2013,17N,2,4,20,608.7,471.46,608.7,0,471.46,122.17,15.07,79.65,0,0,0,0,9,TGM,Loamy,128.63,525804,4520580
