Treatment,Block,PastureCode,Plot,Ecosite,Year,GRSP_point
AGM,1,NH,1,Loamy,2013,0
AGM,1,NH,2,Loamy,2013,0
AGM,1,NH,3,Loamy,2013,0
AGM,1,NH,4,Loamy,2013,0
AGM,2,21N,1,Loamy,2013,0
AGM,2,21N,2,Loamy,2013,0
AGM,2,21N,3,Loamy,2013,0
AGM,2,21N,4,Loamy,2013,0
AGM,3,26W,1,Loamy,2013,0
AGM,3,26W,2,Loamy,2013,0
AGM,3,26W,3,Loamy,2013,0
AGM,3,26W,4,Loamy,2013,0
AGM,4,25NW,1,Loamy,2013,0
AGM,4,25NW,2,Loamy,2013,0
AGM,4,25NW,3,Loamy,2013,0
AGM,4,25NW,4,Loamy,2013,0
AGM,5,31W,1,Loamy,2013,0
AGM,5,31W,2,Loamy,2013,0
AGM,5,31W,3,Loamy,2013,0
AGM,5,31W,4,Sandy,2013,0
AGM,6,18S,1,Sandy,2013,0
AGM,6,18S,2,Sandy,2013,0
AGM,6,18S,3,Sandy,2013,0
AGM,6,18S,4,Sandy,2013,0
AGM,6,18S,5,Sandy,2013,0
AGM,6,18S,6,Sandy,2013,0
AGM,7,7SE,1,Loamy,2013,0
AGM,7,7SE,2,Loamy,2013,0
AGM,7,7SE,3,Loamy,2013,0
AGM,7,7SE,4,Sandy,2013,0
AGM,7,7SE,5,Salt Flats,2013,0
AGM,7,7SE,6,Salt Flats,2013,3
AGM,8,8E,1,Loamy,2013,0
AGM,8,8E,2,Sandy,2013,0
AGM,8,8E,3,Loamy,2013,1
AGM,8,8E,4,Sandy,2013,0
AGM,9,17S,1,Loamy,2013,0
AGM,9,17S,2,Loamy,2013,0
AGM,9,17S,3,Salt Flats,2013,4
AGM,9,17S,4,Salt Flats,2013,2
AGM,9,17S,5,Sandy,2013,0
AGM,9,17S,6,Sandy,2013,1
AGM,10,20NW,1,Sandy,2013,0
AGM,10,20NW,2,Sandy,2013,2
AGM,10,20NW,3,Sandy,2013,1
AGM,10,20NW,4,Sandy,2013,0
AGM,10,20NW,5,Salt Flats,2013,2
AGM,10,20NW,6,Salt Flats,2013,3
TGM,1,15E,1,Loamy,2013,0
TGM,1,15E,2,Loamy,2013,0
TGM,1,15E,3,Loamy,2013,0
TGM,1,15E,4,Loamy,2013,0
TGM,2,24W,1,Loamy,2013,0
TGM,2,24W,2,Loamy,2013,0
TGM,2,24W,3,Loamy,2013,0
TGM,2,24W,4,Loamy,2013,0
TGM,3,26E,1,Loamy,2013,0
TGM,3,26E,2,Loamy,2013,0
TGM,3,26E,3,Loamy,2013,0
TGM,3,26E,4,Loamy,2013,0
TGM,4,25SE,1,Loamy,2013,0
TGM,4,25SE,2,Loamy,2013,0
TGM,4,25SE,3,Loamy,2013,0
TGM,4,25SE,4,Loamy,2013,0
TGM,5,31E,1,Loamy,2013,0
TGM,5,31E,2,Loamy,2013,0
TGM,5,31E,3,Loamy,2013,0
TGM,5,31E,4,Sandy,2013,0
TGM,6,19N,1,Sandy,2013,0
TGM,6,19N,2,Sandy,2013,0
TGM,6,19N,3,Sandy,2013,0
TGM,6,19N,4,Sandy,2013,0
TGM,7,7NW,1,Loamy,2013,0
TGM,7,7NW,2,Loamy,2013,0
TGM,7,7NW,3,Sandy,2013,0
TGM,7,7NW,4,Loamy,2013,0
TGM,7,7NW,5,Salt Flats,2013,1
TGM,7,7NW,6,Salt Flats,2013,0
TGM,8,5E,1,Loamy,2013,0
TGM,8,5E,2,Sandy,2013,0
TGM,8,5E,3,Loamy,2013,0
TGM,8,5E,4,Sandy,2013,0
TGM,9,17N,1,Loamy,2013,0
TGM,9,17N,2,Loamy,2013,0
TGM,9,17N,3,Salt Flats,2013,2
TGM,9,17N,4,Salt Flats,2013,4
TGM,9,17N,5,Sandy,2013,0
TGM,9,17N,6,Sandy,2013,2
TGM,10,20SE,1,Sandy,2013,1
TGM,10,20SE,2,Sandy,2013,3
TGM,10,20SE,3,Sandy,2013,0
TGM,10,20SE,5,Salt Flats,2013,6
TGM,10,20SE,6,Salt Flats,2013,3
TGM,10,20SE,4,Sandy,2013,0
AGM,1,NH,1,Loamy,2014,0
AGM,1,NH,2,Loamy,2014,0
AGM,1,NH,3,Loamy,2014,2
AGM,1,NH,4,Loamy,2014,2
AGM,2,21N,1,Loamy,2014,1
AGM,2,21N,2,Loamy,2014,0
AGM,2,21N,3,Loamy,2014,1
AGM,2,21N,4,Loamy,2014,0
AGM,3,26W,1,Loamy,2014,1
AGM,3,26W,2,Loamy,2014,1
AGM,3,26W,3,Loamy,2014,1
AGM,3,26W,4,Loamy,2014,2
AGM,4,25NW,1,Loamy,2014,1
AGM,4,25NW,2,Loamy,2014,1
AGM,4,25NW,3,Loamy,2014,0
AGM,4,25NW,4,Loamy,2014,2
AGM,5,31W,1,Loamy,2014,0
AGM,5,31W,2,Loamy,2014,1
AGM,5,31W,3,Loamy,2014,0
AGM,5,31W,4,Sandy,2014,1
AGM,6,18S,1,Sandy,2014,0
AGM,6,18S,2,Sandy,2014,0
AGM,6,18S,3,Sandy,2014,0
AGM,6,18S,4,Sandy,2014,0
AGM,6,18S,5,Sandy,2014,0
AGM,6,18S,6,Sandy,2014,0
AGM,7,7SE,1,Loamy,2014,0
AGM,7,7SE,2,Loamy,2014,1
AGM,7,7SE,3,Loamy,2014,1
AGM,7,7SE,4,Sandy,2014,2
AGM,7,7SE,5,Salt Flats,2014,4
AGM,7,7SE,6,Salt Flats,2014,4
AGM,8,8E,1,Loamy,2014,0
AGM,8,8E,2,Sandy,2014,1
AGM,8,8E,3,Loamy,2014,0
AGM,8,8E,4,Sandy,2014,0
AGM,9,17S,1,Loamy,2014,2
AGM,9,17S,2,Loamy,2014,1
AGM,9,17S,3,Salt Flats,2014,4
AGM,9,17S,4,Salt Flats,2014,3
AGM,9,17S,5,Sandy,2014,2
AGM,9,17S,6,Sandy,2014,3
AGM,10,20NW,1,Sandy,2014,1
AGM,10,20NW,2,Sandy,2014,2
AGM,10,20NW,3,Sandy,2014,3
AGM,10,20NW,4,Sandy,2014,3
